event_timestamp_utc,area_name,level,threshold_mm,observed_mm_mean,observed_mm_max,product,observation_timestamp_utc,forecast_max_6h_mm,notified_email,notified_telegram,note
2026-07-29T16:35:26Z,cepina,storm_on_area,5.0,1.33,5.47,SRI,2026-07-29T16:25:00Z,,true,true,cella su area
2026-07-29T17:59:14Z,cepina,storm_cleared,5.0,0.44,1.94,SRI,2026-07-29T17:50:00Z,,true,true,"cella uscita dopo ~83min, caduti 11.0mm"
2026-07-29T18:20:32Z,cepina,nowcast_emergency,20,4.14,21.14,SRT1,2026-07-29T18:10:00Z,,true,true,nowcast buffer=5km
2026-07-31T14:06:13Z,cepina,storm_on_area,5.0,1.20,5.28,SRI,2026-07-31T13:45:00Z,,true,true,catch-up: cella rilevata a posteriori +21min
2026-07-31T14:46:20Z,cepina,storm_on_area,5.0,9.04,28.02,SRI,2026-07-31T14:35:00Z,,true,true,cella su area dwell~126min
2026-07-31T15:46:16Z,cepina,storm_cleared,5.0,0.09,1.00,SRI,2026-07-31T15:35:00Z,,true,true,"cella uscita dopo ~59min, caduti 6.924999713897705mm"
2026-08-01T16:51:06Z,cepina,storm_on_area,5.0,2.12,8.05,SRI,2026-08-01T16:40:00Z,,true,true,cella su area
2026-08-01T18:26:12Z,cepina,warning,10,10.010,12.758,CUM3,2026-08-01T18:00:00Z,45.40,true,true,
2026-08-01T18:36:11Z,cepina,storm_cleared,5.0,0.43,1.48,SRI,2026-08-01T18:25:00Z,,true,true,"cella uscita dopo ~105min, caduti 5.654999732971191mm"
2026-08-02T09:01:09Z,ruspino,storm_on_area,10.0,6.42,27.34,SRI,2026-08-02T08:50:00Z,,true,true,cella su area
2026-08-02T10:06:13Z,ruspino,storm_cleared,10.0,0.60,3.16,SRI,2026-08-02T09:55:00Z,,true,true,"cella uscita dopo ~65min, caduti 8.505000114440918mm"
2026-08-06T15:16:10Z,cepina,storm_on_area,5.0,1.74,7.11,SRI,2026-08-06T15:00:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-08-06T15:37:24Z,cepina,storm_on_area,5.0,2.77,9.61,SRI,2026-08-06T15:30:00Z,,true,true,cella su area
2026-08-06T17:03:13Z,cepina,storm_cleared,5.0,0.00,0.00,SRI,2026-08-06T16:55:00Z,,true,true,"cella uscita dopo ~85min, caduti 0.5450000166893005mm"
2026-08-06T21:49:11Z,cepina,storm_on_area,5.0,0.78,6.30,SRI,2026-08-06T21:40:00Z,,true,true,cella su area dwell~53min
2026-08-06T22:01:08Z,cepina,storm_cleared,5.0,0.00,0.10,SRI,2026-08-06T21:50:00Z,,true,true,"cella uscita dopo ~11min, caduti 5.964999675750732mm"
2026-08-06T22:01:08Z,cepina,storm_on_area,5.0,0.78,6.30,SRI,2026-08-06T21:40:00Z,,true,true,catch-up: cella rilevata a posteriori +21min
2026-08-07T09:13:45Z,ruspino,storm_on_area,10.0,5.65,32.67,SRI,2026-08-07T09:05:00Z,,true,true,cella su area
2026-08-07T09:56:03Z,ruspino,storm_cleared,10.0,0.68,3.39,SRI,2026-08-07T09:45:00Z,,true,true,"cella uscita dopo ~42min, caduti 20.125mm"
2026-08-07T10:30:53Z,ruspino,warning,15,18.746,26.000,CUM3,2026-08-07T10:00:00Z,15.20,true,true,
2026-08-08T13:30:36Z,panna,storm_on_area,5.0,1.06,11.19,SRI,2026-08-08T13:05:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-08-08T13:50:37Z,panna,storm_on_area,5.0,2.51,8.60,SRI,2026-08-08T13:40:00Z,,true,true,cella su area
2026-08-08T14:25:34Z,panna,nowcast_emergency,20,4.49,20.14,SRT1,2026-08-08T14:15:00Z,,true,true,nowcast buffer=5km
2026-08-08T14:45:38Z,panna,storm_cleared,5.0,0.45,1.04,SRI,2026-08-08T14:35:00Z,,true,true,"cella uscita dopo ~55min, caduti 7.014999866485596mm"
2026-08-08T19:08:32Z,cepina,storm_on_area,5.0,0.69,6.01,SRI,2026-08-08T18:55:00Z,,true,true,catch-up: cella rilevata a posteriori +13min
2026-08-09T18:05:40Z,cepina,storm_on_area,5.0,3.56,11.34,SRI,2026-08-09T17:55:00Z,,true,true,cella su area dwell~94min
2026-08-09T19:57:56Z,cepina,storm_cleared,5.0,0.00,0.18,SRI,2026-08-09T19:50:00Z,,true,true,"cella uscita dopo ~112min, caduti 4.880000114440918mm"
2026-08-09T20:20:35Z,cepina,warning,10,10.057,13.395,CUM3,2026-08-09T20:00:00Z,16.70,true,true,
2026-08-10T14:25:38Z,cepina,storm_on_area,5.0,1.05,6.01,SRI,2026-08-10T14:00:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-08-12T12:31:24Z,cepina,storm_on_area,5.0,11.99,43.97,SRI,2026-08-12T12:20:00Z,,true,true,cella su area
2026-08-12T13:11:16Z,cepina,storm_cleared,5.0,0.27,1.78,SRI,2026-08-12T13:00:00Z,,true,true,"cella uscita dopo ~39min, caduti 11.4399995803833mm"
2026-08-12T17:06:21Z,cepina,storm_on_area,5.0,1.67,9.39,SRI,2026-08-12T16:55:00Z,,true,true,cella su area
2026-08-12T17:51:14Z,cepina,storm_cleared,5.0,0.18,0.95,SRI,2026-08-12T17:40:00Z,,true,true,"cella uscita dopo ~44min, caduti 4.634999752044678mm"
2026-08-14T20:01:08Z,cepina,storm_on_area,5.0,1.80,7.46,SRI,2026-08-14T19:50:00Z,,true,true,cella su area
2026-08-14T20:35:56Z,cepina,storm_cleared,5.0,0.00,0.11,SRI,2026-08-14T20:25:00Z,,true,true,"cella uscita dopo ~34min, caduti 2.009999990463257mm"
2026-08-15T14:56:00Z,cepina,storm_on_area,5.0,1.80,12.72,SRI,2026-08-15T14:45:00Z,,true,true,cella su area dwell~119min
2026-08-15T17:51:02Z,cepina,storm_cleared,5.0,0.15,1.54,SRI,2026-08-15T17:40:00Z,,true,true,"cella uscita dopo ~175min, caduti 7.625mm"
2026-08-15T18:00:06Z,cepina,storm_on_area,5.0,1.47,6.64,SRI,2026-08-15T17:50:00Z,,true,true,cella su area dwell~119min
2026-08-15T18:20:53Z,cepina,storm_cleared,5.0,0.00,0.15,SRI,2026-08-15T18:10:00Z,,true,true,"cella uscita dopo ~20min, caduti 3.2849998474121094mm"
2026-08-15T18:20:53Z,cepina,storm_on_area,5.0,1.47,6.64,SRI,2026-08-15T17:50:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-08-16T14:21:01Z,panna,storm_on_area,5.0,0.73,7.25,SRI,2026-08-16T14:10:00Z,,true,true,cella su area dwell~111min
2026-08-16T14:35:47Z,panna,storm_cleared,5.0,0.05,0.71,SRI,2026-08-16T14:25:00Z,,true,true,"cella uscita dopo ~14min, caduti 1.7899999618530273mm"
2026-08-16T14:35:47Z,panna,storm_on_area,5.0,0.73,7.25,SRI,2026-08-16T14:10:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-08-16T14:56:01Z,ruspino,storm_on_area,10.0,8.46,33.93,SRI,2026-08-16T14:45:00Z,,true,true,cella su area dwell~87min
2026-08-16T15:33:24Z,ruspino,storm_cleared,10.0,0.00,0.09,SRI,2026-08-16T15:25:00Z,,true,true,"cella uscita dopo ~37min, caduti 9.72499942779541mm"
2026-08-16T19:55:55Z,cepina,warning,10,10.062,11.885,CUM3,2026-08-16T19:30:00Z,5.20,true,true,
2026-08-16T20:55:57Z,ruspino,storm_on_area,10.0,6.46,14.15,SRI,2026-08-16T20:45:00Z,,true,true,cella su area
2026-08-16T22:20:52Z,ruspino,storm_cleared,10.0,2.12,4.51,SRI,2026-08-16T22:10:00Z,,true,true,"cella uscita dopo ~84min, caduti 6.019999980926514mm"
2026-08-17T11:06:00Z,panna,storm_on_area,5.0,3.61,9.33,SRI,2026-08-17T10:55:00Z,,true,true,cella su area dwell~93min
2026-08-17T11:31:11Z,panna,storm_cleared,5.0,0.05,0.64,SRI,2026-08-17T11:20:00Z,,true,true,"cella uscita dopo ~25min, caduti 2.424999952316284mm"
2026-08-20T01:20:55Z,ruspino,storm_on_area,10.0,7.28,14.43,SRI,2026-08-20T01:10:00Z,,true,true,cella su area
2026-08-20T01:48:44Z,ruspino,storm_cleared,10.0,0.00,0.00,SRI,2026-08-20T01:40:00Z,,true,true,"cella uscita dopo ~27min, caduti 4.105000019073486mm"
2026-08-20T02:11:02Z,ruspino,storm_on_area,10.0,1.75,10.27,SRI,2026-08-20T02:00:00Z,,true,true,cella su area dwell~60min
2026-08-20T03:05:57Z,ruspino,storm_cleared,10.0,0.10,0.66,SRI,2026-08-20T02:55:00Z,,true,true,"cella uscita dopo ~54min, caduti 5.179999828338623mm"
2026-08-20T07:21:03Z,cepina,storm_on_area,5.0,1.09,5.43,SRI,2026-08-20T07:05:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-08-20T07:25:52Z,ruspino,forecast_warning,10,,,SRT1,,22.20,true,true,forecast 1h prossime 6h
2026-08-20T07:25:52Z,ruspino,forecast_warning,15,,,CUM3,,31.60,true,true,forecast 3h prossime 6h
2026-08-20T08:01:05Z,cepina,storm_on_area,5.0,1.26,6.03,SRI,2026-08-20T07:50:00Z,,true,true,cella su area dwell~80min
2026-08-20T08:06:02Z,cepina,storm_cleared,5.0,0.55,2.12,SRI,2026-08-20T07:55:00Z,,true,true,"cella uscita dopo ~4min, caduti 2.5249998569488525mm"
2026-08-20T08:06:02Z,cepina,storm_on_area,5.0,1.26,6.03,SRI,2026-08-20T07:50:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-08-20T09:47:46Z,cepina,storm_on_area,5.0,3.08,9.30,SRI,2026-08-20T09:40:00Z,,true,true,cella su area
2026-08-20T10:31:05Z,cepina,warning,10,11.788,12.553,CUM3,2026-08-20T10:00:00Z,9.50,true,true,rilevamento tardivo catch-up +31min
2026-08-20T10:57:24Z,cepina,storm_cleared,5.0,0.54,1.59,SRI,2026-08-20T10:50:00Z,,true,true,"cella uscita dopo ~69min, caduti 8.720000267028809mm"
2026-08-20T11:15:00Z,ruspino,storm_on_area,10.0,,12.39,ARPA,2026-08-20T11:15:00Z,,recon,recon,ricostruito (evento non registrato dal nowcast)
2026-08-20T11:20:00Z,ruspino,storm_cleared,10.0,,12.39,ARPA,2026-08-20T11:20:00Z,,recon,recon,ricostruito
2026-08-20T12:35:52Z,cepina,storm_on_area,5.0,3.43,15.61,SRI,2026-08-20T12:15:00Z,,true,true,catch-up: cella rilevata a posteriori +20min
2026-08-20T12:35:52Z,cepina,storm_on_area,5.0,8.37,28.01,SRI,2026-08-20T12:10:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-08-20T13:46:02Z,ruspino,storm_on_area,10.0,1.07,10.57,SRI,2026-08-20T13:35:00Z,,true,true,cella su area dwell~39min
2026-08-20T14:05:52Z,ruspino,storm_cleared,10.0,1.16,3.83,SRI,2026-08-20T13:55:00Z,,true,true,"cella uscita dopo ~19min, caduti 3.0249998569488525mm"
2026-08-20T14:05:52Z,ruspino,storm_on_area,10.0,2.37,23.44,SRI,2026-08-20T13:40:00Z,,true,true,catch-up: cella rilevata a posteriori +25min
2026-08-20T14:05:52Z,ruspino,storm_on_area,10.0,1.07,10.57,SRI,2026-08-20T13:35:00Z,,true,true,catch-up: cella rilevata a posteriori +30min
2026-08-20T14:09:56Z,ruspino,storm_on_area,10.0,4.25,12.78,SRI,2026-08-20T14:00:00Z,,true,true,cella su area
2026-08-20T14:50:53Z,ruspino,storm_cleared,10.0,1.63,3.92,SRI,2026-08-20T14:40:00Z,,true,true,"cella uscita dopo ~40min, caduti 8.6899995803833mm"
2026-08-20T14:50:53Z,cepina,storm_on_area,5.0,2.37,7.20,SRI,2026-08-20T14:40:00Z,,true,true,cella su area
2026-08-20T15:20:57Z,cepina,alarm,15,15.029,16.519,CUM3,2026-08-20T15:00:00Z,11.40,true,true,
2026-08-20T16:06:02Z,cepina,storm_cleared,5.0,0.07,1.33,SRI,2026-08-20T15:55:00Z,,true,true,"cella uscita dopo ~75min, caduti 5.809999942779541mm"
2026-08-20T16:36:02Z,cepina,storm_on_area,5.0,3.91,14.60,SRI,2026-08-20T16:25:00Z,,true,true,cella su area
2026-08-20T16:36:02Z,ruspino,storm_on_area,10.0,2.63,10.21,SRI,2026-08-20T16:20:00Z,,true,true,catch-up: cella rilevata a posteriori +16min
2026-08-20T16:56:01Z,ruspino,storm_on_area,10.0,2.35,10.81,SRI,2026-08-20T16:45:00Z,,true,true,cella su area dwell~74min
2026-08-20T18:30:49Z,ruspino,warning,15,25.643,28.983,CUM3,2026-08-20T18:00:00Z,16.00,true,true,
2026-08-20T18:35:55Z,ruspino,storm_cleared,10.0,1.33,3.25,SRI,2026-08-20T18:25:00Z,,true,true,"cella uscita dopo ~99min, caduti 28.404998779296875mm"
